"Date (UTC)","Request ID","User agent","Correlation ID","User ID","User","Username","User type","Cross tenant access type","Incoming token type","Authentication Protocol","Unique token identifier","Original transfer method","Client credential type","Token Protection - Sign In Session","Token Protection - Sign In Session StatusCode","Application","Application ID ","Resource","Resource ID ","Resource tenant ID","Home tenant ID","Home tenant name","IP address","Location","Status","Sign-in error code","Failure reason","Client app","Device ID","Browser","Operating System","Compliant","Managed","Join Type","Multifactor authentication result","Multifactor authentication auth method","Multifactor authentication auth detail","Authentication requirement","Sign-in identifier","Session ID","IP address (seen by resource)","Through Global Secure Access","Global Secure Access IP address","Autonomous system  number","Flagged for review","Token issuer type","Incoming token type","Token issuer name","Latency","Conditional Access","Managed Identity type","Associated Resource Id","Federated Token Id","Federated Token Issuer"
"2024-12-07T13:31:34Z","d1af468c-3829-47a9-b881-29ae05f37800","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0 OS/10.0.22631","1b651d6e-1c11-456f-bf59-025f97942653","e239b9d2-9166-4d20-a50a-93a28ec422fa","MOD Administrator","admin@m365ds169701.onmicrosoft.com","member","none","none","none","jEav0Sk4qUe4gSmuBfN4AA","none","none","unbound","1002","Microsoft Azure Signup Portal","8e0e8db5-b713-4e91-98e6-470fed0aa4c2","Microsoft Graph","00000003-0000-0000-c000-000000000000","91e65752-bef9-458f-b951-472d1bf37490","91e65752-bef9-458f-b951-472d1bf37490","","87.110.161.186","Riga, Riga, LV","Success","","Other.","Browser","","Edge 131.0.0","Windows10","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","79d6c9e3-ed07-4460-b1e2-2e8f00903c38","","false","","12578","false","Microsoft Entra ID","None","","86","Success","None","","",""
"2024-12-07T13:28:23Z","a466280f-1d69-447f-9829-60566840c300","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0 OS/10.0.22631","96920ba1-2851-4d50-909f-632066abf105","e239b9d2-9166-4d20-a50a-93a28ec422fa","MOD Administrator","admin@m365ds169701.onmicrosoft.com","member","none","none","none","DyhmpGkdf0SYKWBWaEDDAA","none","none","unbound","1002","Azure Portal","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","Azure Resource Manager","797f4846-ba00-4fd7-ba43-dac1f8f63013","91e65752-bef9-458f-b951-472d1bf37490","91e65752-bef9-458f-b951-472d1bf37490","","87.110.161.186","Riga, Riga, LV","Success","","Other.","Browser","","Edge 131.0.0","Windows10","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","79d6c9e3-ed07-4460-b1e2-2e8f00903c38","","false","","12578","false","Microsoft Entra ID","None","","102","Success","None","","",""
"2024-12-07T13:03:05Z","31b6d9f9-a168-49ca-8604-67977b111400","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0","f48febed-7769-42c8-a1dc-e55c7acb2a76","e239b9d2-9166-4d20-a50a-93a28ec422fa","MOD Administrator","admin@m365ds169701.onmicrosoft.com","member","none","none","none","'-dm2MWihykmGBGeXexEUAA","none","none","unbound","1002","Microsoft Account Controls V2","7eadcef8-456d-4611-9480-4fff72b8b9e2","Microsoft Graph","00000003-0000-0000-c000-000000000000","91e65752-bef9-458f-b951-472d1bf37490","91e65752-bef9-458f-b951-472d1bf37490","","87.110.161.186","Riga, Riga, LV","Success","","Other.","Browser","","Edge 131.0.0","Windows10","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","79d6c9e3-ed07-4460-b1e2-2e8f00903c38","","false","","12578","false","Microsoft Entra ID","None","","62","Success","None","","",""
"2024-12-07T13:00:02Z","d1af468c-3829-47a9-b881-29ae145a7800","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0","798b55a6-8049-4343-be9b-915c279f84ef","e239b9d2-9166-4d20-a50a-93a28ec422fa","MOD Administrator","admin@m365ds169701.onmicrosoft.com","member","none","none","none","jEav0Sk4qUe4gSmuFFp4AA","none","none","unbound","1002","Office365 Shell WCSS-Client","89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","Microsoft Graph","00000003-0000-0000-c000-000000000000","91e65752-bef9-458f-b951-472d1bf37490","91e65752-bef9-458f-b951-472d1bf37490","","87.110.161.186","Riga, Riga, LV","Success","","Other.","Browser","","Edge 131.0.0","Windows10","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","79d6c9e3-ed07-4460-b1e2-2e8f00903c38","","false","","12578","false","Microsoft Entra ID","None","","67","Success","None","","",""
"2024-12-07T13:00:02Z","ec4366c6-9855-4194-9d05-8b75231b7800","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0","cf5fec22-fe5b-4895-8d0c-8fc8c33c7c4c","e239b9d2-9166-4d20-a50a-93a28ec422fa","MOD Administrator","admin@m365ds169701.onmicrosoft.com","member","none","none","none","xmZD7FWYlEGdBYt1Ixt4AA","none","none","unbound","1002","Office365 Shell WCSS-Client","89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","Microsoft Graph","00000003-0000-0000-c000-000000000000","91e65752-bef9-458f-b951-472d1bf37490","91e65752-bef9-458f-b951-472d1bf37490","","87.110.161.186","Riga, Riga, LV","Success","","Other.","Browser","","Edge 131.0.0","Windows10","false","false","","MFA requirement satisfied by claim in the token","","","Single-factor authentication","","79d6c9e3-ed07-4460-b1e2-2e8f00903c38","","false","","12578","false","Microsoft Entra ID","None","","62","Not Applied","None","","",""
"2024-12-07T13:00:02Z","5bcd19eb-a0ba-4ded-a00a-64efd59b8000","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0","5acc7804-cf70-4070-8f11-5ec6387b201a","e239b9d2-9166-4d20-a50a-93a28ec422fa","MOD Administrator","admin@m365ds169701.onmicrosoft.com","member","none","none","none","6xnNW7qg7U2gCmTv1ZuAAA","none","none","unbound","1002","Office365 Shell WCSS-Client","89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","Office365 Shell WCSS-Server","5f09333a-842c-47da-a157-57da27fcbca5","91e65752-bef9-458f-b951-472d1bf37490","91e65752-bef9-458f-b951-472d1bf37490","","87.110.161.186","Riga, Riga, LV","Success","","Other.","Browser","","Edge 131.0.0","Windows10","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","79d6c9e3-ed07-4460-b1e2-2e8f00903c38","","false","","12578","false","Microsoft Entra ID","None","","43","Success","None","","",""
"2024-12-07T12:49:14Z","0a60e17f-6a96-48d5-8adc-e1062cf31400","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0","b2d65534-b0ce-457f-bdd0-fb3b5145e9a7","e239b9d2-9166-4d20-a50a-93a28ec422fa","MOD Administrator","admin@m365ds169701.onmicrosoft.com","member","none","none","none","f-FgCpZq1UiK3OEGLPMUAA","none","none","unbound","1002","Office365 Shell WCSS-Client","89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","Microsoft Graph","00000003-0000-0000-c000-000000000000","91e65752-bef9-458f-b951-472d1bf37490","91e65752-bef9-458f-b951-472d1bf37490","","87.110.161.186","Riga, Riga, LV","Success","","Other.","Browser","","Edge 131.0.0","Windows10","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","79d6c9e3-ed07-4460-b1e2-2e8f00903c38","","false","","12578","false","Microsoft Entra ID","None","","72","Success","None","","",""
"2024-12-07T12:49:14Z","e9d88450-27d0-4948-bbbe-feb2b75ee400","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0","161f81a6-08ce-493b-8ece-e5676c7aa3f8","e239b9d2-9166-4d20-a50a-93a28ec422fa","MOD Administrator","admin@m365ds169701.onmicrosoft.com","member","none","none","none","UITY6dAnSEm7vv6yt17kAA","none","none","unbound","1002","Office365 Shell WCSS-Client","89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","Microsoft Graph","00000003-0000-0000-c000-000000000000","91e65752-bef9-458f-b951-472d1bf37490","91e65752-bef9-458f-b951-472d1bf37490","","87.110.161.186","Riga, Riga, LV","Success","","Other.","Browser","","Edge 131.0.0","Windows10","false","false","","MFA requirement satisfied by claim in the token","","","Single-factor authentication","","79d6c9e3-ed07-4460-b1e2-2e8f00903c38","","false","","12578","false","Microsoft Entra ID","None","","49","Not Applied","None","","",""
"2024-12-07T12:49:14Z","497afa44-321f-4b54-b778-5bc5f88ed401","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0","428e59af-65b0-42a4-aa96-eac86acdcfd5","e239b9d2-9166-4d20-a50a-93a28ec422fa","MOD Administrator","admin@m365ds169701.onmicrosoft.com","member","none","none","none","RPp6SR8yVEu3eFvF-I7UAQ","none","none","unbound","1002","Office365 Shell WCSS-Client","89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","Office365 Shell WCSS-Server","5f09333a-842c-47da-a157-57da27fcbca5","91e65752-bef9-458f-b951-472d1bf37490","91e65752-bef9-458f-b951-472d1bf37490","","87.110.161.186","Riga, Riga, LV","Success","","Other.","Browser","","Edge 131.0.0","Windows10","false","false","","MFA requirement satisfied by claim in the token","","","Multifactor authentication","","79d6c9e3-ed07-4460-b1e2-2e8f00903c38","","false","","12578","false","Microsoft Entra ID","None","","55","Success","None","","",""
"2024-12-07T12:48:58Z","ec88f449-d42e-4728-9ea8-31038748b900","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0 OS/10.0.22631","d1b4bb6b-1fc3-4c7c-a6b0-8ad320ab98d9","e239b9d2-9166-4d20-a50a-93a28ec422fa","MOD Administrator","admin@m365ds169701.onmicrosoft.com","member","none","none","none","SfSI7C7UKEeeqDEDh0i5AA","none","none","unbound","1002","Microsoft 365 Security and Compliance Center","80ccca67-54bd-44ab-8625-4b79c4dc7775","Windows Azure Active Directory","00000002-0000-0000-c000-000000000000","91e65752-bef9-458f-b951-472d1bf37490","91e65752-bef9-458f-b951-472d1bf37490","","87.110.161.186","Riga, Riga, LV","Success","","Other.","Browser","","Edge 131.0.0","Windows10","false","false","","MFA requirement satisfied by claim in the token","","","Single-factor authentication","","79d6c9e3-ed07-4460-b1e2-2e8f00903c38","","false","","12578","false","Microsoft Entra ID","None","","105","Not Applied","None","","",""
